onset,duration,genre,track,start,end,task,run,global_onset_tr
0,15,disco,9,4.21,19.21,Training,01,0
15,15,blues,98,6.46,21.46,Training,01,10
30,15,hiphop,53,0.4,15.4,Training,01,20
45,15,pop,29,3.56,18.56,Training,01,30
60,15,jazz,9,7.44,22.44,Training,01,40
75,15,classical,39,7.28,22.28,Training,01,50
90,15,disco,43,1.81,16.81,Training,01,60
105,15,country,54,0.5,15.5,Training,01,70
120,15,metal,92,10.0,25.0,Training,01,80
135,15,reggae,4,4.86,19.86,Training,01,90
150,15,rock,2,8.88,23.88,Training,01,100
165,15,blues,36,7.17,22.17,Training,01,110
180,15,jazz,18,6.69,21.69,Training,01,120
195,15,rock,54,6.09,21.09,Training,01,130
210,15,classical,95,6.46,21.46,Training,01,140
225,15,reggae,68,14.27,29.27,Training,01,150
240,15,country,39,12.05,27.05,Training,01,160
255,15,hiphop,10,8.38,23.38,Training,01,170
270,15,pop,43,10.53,25.53,Training,01,180
285,15,metal,57,13.73,28.73,Training,01,190
300,15,disco,81,4.5,19.5,Training,01,200
315,15,blues,85,12.14,27.14,Training,01,210
330,15,rock,43,8.49,23.49,Training,01,220
345,15,classical,23,5.81,20.81,Training,01,230
360,15,disco,91,14.06,29.06,Training,01,240
375,15,hiphop,66,4.11,19.11,Training,01,250
390,15,reggae,55,13.83,28.83,Training,01,260
405,15,pop,92,11.62,26.62,Training,01,270
420,15,metal,38,10.53,25.53,Training,01,280
435,15,jazz,77,14.24,29.24,Training,01,290
450,15,country,36,14.06,29.06,Training,01,300
465,15,jazz,16,7.88,22.88,Training,01,310
480,15,reggae,26,9.56,24.56,Training,01,320
495,15,disco,66,14.95,29.95,Training,01,330
510,15,pop,17,5.53,20.53,Training,01,340
525,15,rock,37,4.18,19.18,Training,01,350
540,15,blues,77,13.95,28.95,Training,01,360
555,15,classical,84,6.49,21.49,Training,01,370
570,15,country,67,14.77,29.77,Training,01,380
585,15,hiphop,72,12.19,27.19,Training,01,390
600,15,metal,78,1.74,16.74,Training,01,400
0,15,metal,78,1.74,16.74,Training,02,410
15,15,rock,65,0.53,15.53,Training,02,420
30,15,metal,10,8.3,23.3,Training,02,430
45,15,disco,53,10.14,25.14,Training,02,440
60,15,jazz,55,12.04,27.04,Training,02,450
75,15,country,81,13.7,28.7,Training,02,460
90,15,reggae,62,14.38,29.38,Training,02,470
105,15,hiphop,56,6.68,21.68,Training,02,480
120,15,pop,52,5.41,20.41,Training,02,490
135,15,classical,33,0.71,15.71,Training,02,500
150,15,blues,74,13.08,28.08,Training,02,510
165,15,rock,53,0.35,15.35,Training,02,520
180,15,hiphop,62,1.77,16.77,Training,02,530
195,15,disco,61,7.53,22.53,Training,02,540
210,15,jazz,78,5.84,20.84,Training,02,550
225,15,metal,4,2.34,17.34,Training,02,560
240,15,pop,99,6.16,21.16,Training,02,570
255,15,reggae,79,13.25,28.25,Training,02,580
270,15,blues,45,7.67,22.67,Training,02,590
285,15,country,6,6.31,21.31,Training,02,600
300,15,classical,28,12.68,27.68,Training,02,610
315,15,rock,9,1.34,16.34,Training,02,620
330,15,hiphop,35,2.2,17.2,Training,02,630
345,15,metal,8,6.54,21.54,Training,02,640
360,15,country,46,11.2,26.2,Training,02,650
375,15,pop,26,9.71,24.71,Training,02,660
390,15,reggae,84,14.48,29.48,Training,02,670
405,15,jazz,79,0.9,15.9,Training,02,680
420,15,classical,26,1.09,16.09,Training,02,690
435,15,disco,54,5.34,20.34,Training,02,700
450,15,blues,94,2.93,17.93,Training,02,710
465,15,jazz,67,3.64,18.64,Training,02,720
480,15,reggae,77,7.17,22.17,Training,02,730
495,15,blues,64,6.84,21.84,Training,02,740
510,15,disco,16,4.62,19.62,Training,02,750
525,15,hiphop,60,13.8,28.8,Training,02,760
540,15,rock,76,1.14,16.14,Training,02,770
555,15,metal,9,8.84,23.84,Training,02,780
570,15,country,72,2.98,17.98,Training,02,790
585,15,classical,94,3.82,18.82,Training,02,800
600,15,pop,37,14.42,29.42,Training,02,810
0,15,pop,37,14.42,29.42,Training,03,820
15,15,metal,82,0.4,15.4,Training,03,830
30,15,pop,72,6.71,21.71,Training,03,840
45,15,jazz,27,9.6,24.6,Training,03,850
60,15,rock,97,11.89,26.89,Training,03,860
75,15,country,30,6.92,21.92,Training,03,870
90,15,disco,85,8.94,23.94,Training,03,880
105,15,reggae,19,12.71,27.71,Training,03,890
120,15,classical,49,0.99,15.99,Training,03,900
135,15,blues,76,14.18,29.18,Training,03,910
150,15,hiphop,58,9.97,24.97,Training,03,920
165,15,pop,65,2.48,17.48,Training,03,930
180,15,classical,66,6.92,21.92,Training,03,940
195,15,metal,23,12.1,27.1,Training,03,950
210,15,reggae,7,12.24,27.24,Training,03,960
225,15,country,45,11.41,26.41,Training,03,970
240,15,rock,60,4.85,19.85,Training,03,980
255,15,disco,14,4.99,19.99,Training,03,990
270,15,blues,0,11.42,26.42,Training,03,1000
285,15,jazz,22,3.84,18.84,Training,03,1010
300,15,hiphop,76,2.86,17.86,Training,03,1020
315,15,metal,49,7.43,22.43,Training,03,1030
330,15,blues,68,6.69,21.69,Training,03,1040
345,15,rock,39,2.37,17.37,Training,03,1050
360,15,hiphop,30,14.3,29.3,Training,03,1060
375,15,pop,5,3.2,18.2,Training,03,1070
390,15,classical,16,11.66,26.66,Training,03,1080
405,15,reggae,8,5.13,20.13,Training,03,1090
420,15,country,50,4.53,19.53,Training,03,1100
435,15,disco,86,8.24,23.24,Training,03,1110
450,15,jazz,75,4.59,19.59,Training,03,1120
465,15,hiphop,31,8.28,23.28,Training,03,1130
480,15,jazz,64,12.51,27.51,Training,03,1140
495,15,classical,34,14.46,29.46,Training,03,1150
510,15,pop,15,6.69,21.69,Training,03,1160
525,15,blues,11,12.95,27.95,Training,03,1170
540,15,rock,36,8.3,23.3,Training,03,1180
555,15,metal,7,1.29,16.29,Training,03,1190
570,15,disco,49,7.61,22.61,Training,03,1200
585,15,country,18,7.86,22.86,Training,03,1210
600,15,reggae,88,7.42,22.42,Training,03,1220
0,15,reggae,88,7.42,22.42,Training,04,1230
15,15,disco,45,4.99,19.99,Training,04,1240
30,15,hiphop,86,10.61,25.61,Training,04,1250
45,15,rock,29,9.29,24.29,Training,04,1260
60,15,jazz,42,10.05,25.05,Training,04,1270
75,15,country,9,7.75,22.75,Training,04,1280
90,15,reggae,28,1.91,16.91,Training,04,1290
105,15,metal,69,7.35,22.35,Training,04,1300
120,15,pop,44,3.51,18.51,Training,04,1310
135,15,classical,11,9.98,24.98,Training,04,1320
150,15,blues,14,9.59,24.59,Training,04,1330
165,15,jazz,41,2.83,17.83,Training,04,1340
180,15,hiphop,45,8.55,23.55,Training,04,1350
195,15,reggae,35,3.23,18.23,Training,04,1360
210,15,country,95,4.6,19.6,Training,04,1370
225,15,metal,44,3.21,18.21,Training,04,1380
240,15,rock,92,0.52,15.52,Training,04,1390
255,15,classical,40,7.98,22.98,Training,04,1400
270,15,disco,27,9.73,24.73,Training,04,1410
285,15,blues,52,14.71,29.71,Training,04,1420
300,15,pop,56,1.83,16.83,Training,04,1430
315,15,blues,90,6.13,21.13,Training,04,1440
330,15,country,16,5.82,20.82,Training,04,1450
345,15,jazz,82,0.35,15.35,Training,04,1460
360,15,classical,17,7.39,22.39,Training,04,1470
375,15,reggae,48,6.08,21.08,Training,04,1480
390,15,hiphop,61,3.54,18.54,Training,04,1490
405,15,pop,39,11.88,26.88,Training,04,1500
420,15,metal,47,0.58,15.58,Training,04,1510
435,15,rock,52,1.64,16.64,Training,04,1520
450,15,disco,13,5.4,20.4,Training,04,1530
465,15,pop,51,11.72,26.72,Training,04,1540
480,15,blues,20,8.77,23.77,Training,04,1550
495,15,hiphop,68,6.55,21.55,Training,04,1560
510,15,reggae,60,6.02,21.02,Training,04,1570
525,15,country,80,4.85,19.85,Training,04,1580
540,15,rock,71,11.81,26.81,Training,04,1590
555,15,disco,62,13.42,28.42,Training,04,1600
570,15,classical,37,1.96,16.96,Training,04,1610
585,15,jazz,58,4.73,19.73,Training,04,1620
600,15,metal,97,9.98,24.98,Training,04,1630
0,15,metal,97,9.98,24.98,Training,05,1640
15,15,hiphop,20,10.03,25.03,Training,05,1650
30,15,classical,43,11.15,26.15,Training,05,1660
45,15,reggae,22,0.97,15.97,Training,05,1670
60,15,country,74,1.03,16.03,Training,05,1680
75,15,jazz,47,10.0,25.0,Training,05,1690
90,15,metal,88,3.8,18.8,Training,05,1700
105,15,disco,99,11.72,26.72,Training,05,1710
120,15,blues,41,11.4,26.4,Training,05,1720
135,15,rock,14,6.75,21.75,Training,05,1730
150,15,pop,94,13.74,28.74,Training,05,1740
165,15,jazz,3,10.14,25.14,Training,05,1750
180,15,pop,31,9.77,24.77,Training,05,1760
195,15,hiphop,28,2.63,17.63,Training,05,1770
210,15,metal,25,12.41,27.41,Training,05,1780
225,15,blues,46,6.62,21.62,Training,05,1790
240,15,reggae,40,8.39,23.39,Training,05,1800
255,15,classical,60,0.98,15.98,Training,05,1810
270,15,country,44,5.14,20.14,Training,05,1820
285,15,rock,57,4.23,19.23,Training,05,1830
300,15,disco,84,7.3,22.3,Training,05,1840
315,15,hiphop,46,9.65,24.65,Training,05,1850
330,15,metal,75,12.21,27.21,Training,05,1860
345,15,disco,37,11.19,26.19,Training,05,1870
360,15,classical,24,4.08,19.08,Training,05,1880
375,15,rock,19,13.61,28.61,Training,05,1890
390,15,country,29,4.66,19.66,Training,05,1900
405,15,jazz,70,8.92,23.92,Training,05,1910
